Scorer	Evaluation	Movie_Id	Review_Id	Sentiment	pcount	ncount	pscore	nscore	positivity	negativity
NoTaggerSWN	Wrong	7	35	Thumbs DOWN	143	86	22.3997961021506	-16.65144834447814	0.15664193078426994	-0.1936214923776528
NoTaggerSWN	Wrong	10	47	Thumbs UP	63	34	11.723452616966451	-5.190746953904593	0.18608654947565795	-0.15266902805601745
NoTaggerSWN	Wrong	10	45	Thumbs UP	70	68	16.82181893870269	-14.256403823229563	0.24031169912432415	-0.20965299740043475
NoTaggerSWN	Wrong	7	34	Thumbs DOWN	40	30	7.929691770963789	-8.665378821994752	0.19824229427409473	-0.2888459607331584
NoTaggerSWN	Wrong	7	32	Thumbs DOWN	55	41	10.025762925294938	-7.850588447960277	0.18228659864172614	-0.1914777670234214
NoTaggerSWN	Wrong	8	38	Thumbs DOWN	117	41	21.310822773481082	-10.103921141778986	0.1821437843887272	-0.24643710101899968
NoTaggerSWN	Wrong	8	39	Thumbs DOWN	106	47	20.827352871745024	-12.194780353714187	0.19648446105419834	-0.2594634117811529
NoTaggerSWN	Wrong	8	37	Thumbs DOWN	85	49	16.58389574424963	-10.372636972517812	0.19510465581470154	-0.21168646882689413
TaggerSWN	Right	9	40	Thumbs DOWN	29	17	3.5996598041725436	-3.5092080746443974	0.12412620014388082	-0.2064240043908469
TaggerSWN	Right	9	41	Thumbs DOWN	22	12	1.6285056788539984	-1.9375557754595532	0.07402298540245447	-0.1614629812882961
TaggerSWN	Right	9	43	Thumbs DOWN	54	29	6.152899913583975	-4.538091467407042	0.11394259099229584	-0.15648591266920833
TaggerSWN	Right	2	10	Thumbs DOWN	51	32	6.6125767849175405	-4.780052312342174	0.12965836833171648	-0.14937663476069293
TaggerSWN	Right	3	15	Thumbs UP	88	35	13.4066505121135	-5.134821662132244	0.15234830127401702	-0.14670919034663554
TaggerSWN	Right	1	1	Thumbs DOWN	42	24	7.372576549957353	-5.977407363528802	0.1755375369037465	-0.2490586401470334
TaggerSWN	Right	3	13	Thumbs UP	126	62	22.425054637053073	-9.231862375010216	0.17797662410359583	-0.1489010060485519
TaggerSWN	Right	1	3	Thumbs DOWN	57	30	5.228259416160425	-4.263454320882362	0.09172384940632324	-0.14211514402941205
TaggerSWN	Right	3	14	Thumbs UP	76	32	12.152304963364841	-4.657317347882479	0.15989874951795843	-0.14554116712132747
TaggerSWN	Right	1	2	Thumbs DOWN	96	64	14.810557673200284	-11.620235757431802	0.15427664242916964	-0.1815661837098719
TaggerSWN	Right	3	12	Thumbs DOWN	61	36	9.396684896768479	-5.795944988968075	0.1540440147011226	-0.16099847191577987
TaggerSWN	Right	2	9	Thumbs UP	39	30	6.913744559889582	-3.4846148025531067	0.17727550153563032	-0.11615382675177023
TaggerSWN	Right	4	20	Thumbs DOWN	66	61	6.840073195686629	-9.633846111514996	0.10363747266191863	-0.15793190346745895
TaggerSWN	Right	6	30	Thumbs DOWN	82	37	7.8645865422259496	-4.972846259554364	0.09590959197836524	-0.13440125025822605
TaggerSWN	Right	2	6	Thumbs DOWN	76	38	11.953323280676557	-6.895803469779697	0.15728056948258629	-0.1814685123626236
TaggerSWN	Right	2	7	Thumbs DOWN	66	50	12.447515499918424	-9.493048002127608	0.1885987196957337	-0.18986096004255215
TaggerSWN	Right	5	25	Thumbs UP	71	32	12.24228999072756	-4.126739410833619	0.1724266195877121	-0.1289606065885506
TaggerSWN	Right	5	23	Thumbs DOWN	90	65	14.143879348122661	-10.66077669037941	0.15715421497914067	-0.16401194908276018
TaggerSWN	Right	4	16	Thumbs DOWN	49	37	9.352362149455455	-7.06757395764197	0.19086453366235623	-0.19101551236870187
TaggerSWN	Right	4	17	Thumbs DOWN	25	27	2.8625181540465574	-4.35392177198936	0.1145007261618623	-0.16125636192553186
TaggerSWN	Right	5	21	Thumbs UP	47	18	9.592960074486367	-2.05086919390483	0.20410553349970995	-0.11393717743915723
TaggerSWN	Right	6	27	Thumbs DOWN	28	26	4.248354540382253	-4.589977699393304	0.15172694787079474	-0.1765376038228194
TaggerSWN	Right	10	48	Thumbs UP	46	25	7.340140527974086	-2.2187284679752297	0.15956827234726273	-0.08874913871900919
TaggerSWN	Right	10	49	Thumbs DOWN	95	40	13.70017219258388	-6.544579052336924	0.14421233886930399	-0.1636144763084231
TaggerSWN	Right	7	35	Thumbs UP	105	69	14.540149732279033	-9.378851027218431	0.13847761649789556	-0.1359253772060642
TaggerSWN	Right	6	29	Thumbs UP	51	20	7.4837556000291405	-2.0525638775814747	0.14674030588292433	-0.10262819387907374
TaggerSWN	Right	7	33	Thumbs UP	53	32	7.8044161583198965	-3.269616889973616	0.14725313506263957	-0.1021755278116755
TaggerSWN	Right	8	38	Thumbs UP	100	25	14.375452533403791	-3.4535482662454027	0.1437545253340379	-0.1381419306498161
TaggerSWN	Right	8	36	Thumbs UP	37	22	5.4316119220086	-3.121149506609837	0.14680032221644865	-0.14187043211862896
TaggerSWN	Wrong	5	24	Thumbs UP	75	32	13.59885807523612	-3.9125543971156875	0.18131810766981493	-0.12226732490986524
TaggerSWN	Wrong	9	42	Thumbs UP	57	36	7.143941071298337	-3.6064158709184393	0.12533229949646205	-0.10017821863662331
TaggerSWN	Wrong	4	18	Thumbs UP	44	38	4.8430568273553405	-3.819800222845866	0.11006947334898501	-0.10052105849594384
TaggerSWN	Wrong	5	22	Thumbs DOWN	64	19	11.262189248452394	-4.8044628132379525	0.17597170700706866	-0.2528664638546291
TaggerSWN	Wrong	4	19	Thumbs UP	62	46	13.408803372185119	-6.724700686950911	0.21627102213201804	-0.14618914536849806
TaggerSWN	Wrong	9	44	Thumbs UP	39	19	5.656889339863511	-2.219620485899197	0.1450484446118849	-0.11682213083679983
TaggerSWN	Wrong	6	28	Thumbs UP	51	38	7.936278263174646	-4.903950069987437	0.15561329927793424	-0.12905131763124836
TaggerSWN	Wrong	6	26	Thumbs UP	30	26	5.482274902560436	-4.149924587846138	0.1827424967520145	-0.1596124841479284
TaggerSWN	Wrong	10	46	Thumbs UP	121	58	20.602507052703434	-9.23539224199232	0.17026865332812754	-0.15923090072400553
TaggerSWN	Wrong	10	47	Thumbs UP	51	23	6.818621998415211	-2.120346416232784	0.133698470557161	-0.09218897461881669
TaggerSWN	Wrong	1	5	Thumbs UP	65	43	8.315596933115087	-4.738577154723019	0.12793226050946288	-0.11019946871448881
TaggerSWN	Wrong	3	11	Thumbs DOWN	61	50	8.576515229425409	-8.048056053679751	0.14059861031844934	-0.16096112107359503
TaggerSWN	Wrong	10	45	Thumbs UP	57	48	11.491896973404696	-8.978002047530232	0.20161222760359115	-0.1870417093235465
TaggerSWN	Wrong	7	34	Thumbs DOWN	30	21	4.959586035539958	-4.046306787738755	0.1653195345179986	-0.19268127560660736
TaggerSWN	Wrong	1	4	Thumbs UP	27	20	4.647137041755045	-2.9125682997046205	0.1721161867316683	-0.14562841498523102
TaggerSWN	Wrong	7	31	Thumbs UP	65	41	11.321553221856712	-6.964571142391293	0.17417774187471866	-0.16986758883881203
TaggerSWN	Wrong	7	32	Thumbs DOWN	40	28	5.495514230648399	-5.157804005455503	0.13738785576621	-0.1842072859091251
TaggerSWN	Wrong	8	39	Thumbs DOWN	77	36	10.448487587764106	-7.234365311710666	0.13569464399693645	-0.20095459199196294
TaggerSWN	Wrong	8	37	Thumbs DOWN	69	36	11.643298833037905	-7.0431804735418195	0.16874346134837542	-0.19564390204282833
TaggerSWN	Wrong	2	8	Thumbs UP	63	40	11.031898376291066	-5.431121026457446	0.17510949803636613	-0.13577802566143615
BigramTaggerSWN	Right	9	40	Thumbs DOWN	31	19	3.932993137505877	-3.529382807747999	0.12687074637115733	-0.18575698988147363
BigramTaggerSWN	Right	9	41	Thumbs DOWN	23	13	1.6966874970358168	-1.9571938733694987	0.07376902161025291	-0.15055337487457682
BigramTaggerSWN	Right	9	43	Thumbs DOWN	56	29	6.902899913583977	-4.538091467407042	0.12326606988542817	-0.15648591266920833
BigramTaggerSWN	Right	2	10	Thumbs DOWN	52	32	6.7375767849175405	-4.780052312342174	0.1295687843253373	-0.14937663476069293
BigramTaggerSWN	Right	3	15	Thumbs UP	89	35	14.031650512113501	-5.134821662132244	0.15765899451812923	-0.14670919034663554
BigramTaggerSWN	Right	1	1	Thumbs DOWN	43	25	7.576658182610414	-6.477407363528802	0.17620135308396312	-0.2590962945411521
BigramTaggerSWN	Right	3	13	Thumbs UP	131	64	23.030078112761053	-9.981862375010216	0.175802122998176	-0.15596659960953463
BigramTaggerSWN	Right	1	3	Thumbs DOWN	60	31	5.750157226379403	-4.763454320882362	0.09583595377299005	-0.15365981680265683
BigramTaggerSWN	Right	3	14	Thumbs UP	76	33	12.152304963364841	-4.745215641599347	0.15989874951795843	-0.14379441338179838
BigramTaggerSWN	Right	1	2	Thumbs DOWN	97	65	14.935557673200284	-11.824781211977257	0.15397482137319882	-0.18191971095349627
BigramTaggerSWN	Right	3	12	Thumbs DOWN	62	38	9.39984014471256	-5.8317143815897605	0.1516103249147187	-0.15346616793657264
BigramTaggerSWN	Right	1	4	Thumbs DOWN	28	22	4.650292289699127	-3.9125682997046205	0.16608186748925455	-0.1778440136229373
BigramTaggerSWN	Right	2	9	Thumbs UP	40	31	6.916899807833664	-3.5328241689442916	0.1729224951958416	-0.11396206996594489
BigramTaggerSWN	Right	4	20	Thumbs DOWN	68	62	7.033100406570983	-9.644680064301168	0.10342794715545564	-0.15555935587582528
BigramTaggerSWN	Right	6	30	Thumbs DOWN	85	38	8.86458654222595	-5.222846259554364	0.10428925343795235	-0.1374433226198517
BigramTaggerSWN	Right	2	6	Thumbs DOWN	78	38	12.328323280676557	-6.895803469779697	0.15805542667534048	-0.1814685123626236
BigramTaggerSWN	Right	5	25	Thumbs UP	72	32	12.261226727997864	-4.126739410833619	0.17029481566663698	-0.1289606065885506
BigramTaggerSWN	Right	5	23	Thumbs DOWN	91	65	14.262795785220916	-10.66077669037941	0.15673401961781228	-0.16401194908276018
BigramTaggerSWN	Right	4	16	Thumbs DOWN	50	38	9.42038936033981	-7.69257395764197	0.18840778720679618	-0.20243615678005183
BigramTaggerSWN	Right	4	17	Thumbs DOWN	25	28	2.8625181540465574	-4.430564107755783	0.1145007261618623	-0.1582344324198494
BigramTaggerSWN	Right	5	21	Thumbs UP	48	18	9.842960074486367	-2.05086919390483	0.20506166821846597	-0.11393717743915723
BigramTaggerSWN	Right	6	27	Thumbs DOWN	29	26	4.498354540382253	-4.589977699393304	0.15511567380628458	-0.1765376038228194
BigramTaggerSWN	Right	10	48	Thumbs UP	46	26	7.340140527974086	-2.266937834366414	0.15956827234726273	-0.08718991670640054
BigramTaggerSWN	Right	10	49	Thumbs DOWN	96	42	13.719108929854183	-7.1836748403705455	0.14290738468598108	-0.17103987715167965
BigramTaggerSWN	Right	6	29	Thumbs UP	51	20	7.4837556000291405	-2.0525638775814747	0.14674030588292433	-0.10262819387907374
BigramTaggerSWN	Right	7	33	Thumbs UP	53	33	7.8044161583198965	-3.295127094055249	0.14725313506263957	-0.09985233618349239
BigramTaggerSWN	Right	8	36	Thumbs UP	39	23	5.567992737208347	-3.1685947620842896	0.14276904454380376	-0.13776498965583867
BigramTaggerSWN	Wrong	5	24	Thumbs UP	76	34	13.97385807523612	-4.55718249628924	0.1838665536215279	-0.1340347793026247
BigramTaggerSWN	Wrong	9	42	Thumbs UP	58	36	7.268941071298337	-3.6064158709184393	0.12532657019479893	-0.10017821863662331
BigramTaggerSWN	Wrong	4	18	Thumbs UP	46	38	4.914239286183776	-3.819800222845866	0.10683128883008208	-0.10052105849594384
BigramTaggerSWN	Wrong	5	22	Thumbs DOWN	65	20	11.637189248452394	-4.9294628132379525	0.17903368074542145	-0.24647314066189763
BigramTaggerSWN	Wrong	4	19	Thumbs UP	62	46	13.408803372185119	-6.724700686950911	0.21627102213201804	-0.14618914536849806
BigramTaggerSWN	Wrong	9	44	Thumbs UP	42	19	6.53188933986351	-2.219620485899197	0.155521174758655	-0.11682213083679983
BigramTaggerSWN	Wrong	6	28	Thumbs UP	53	38	8.075052367857841	-4.903950069987437	0.1523594786388272	-0.12905131763124836
BigramTaggerSWN	Wrong	6	26	Thumbs UP	30	26	5.482274902560436	-4.149924587846138	0.1827424967520145	-0.1596124841479284
BigramTaggerSWN	Wrong	10	46	Thumbs UP	122	58	20.977507052703434	-9.23539224199232	0.17194677912051995	-0.15923090072400553
BigramTaggerSWN	Wrong	7	35	Thumbs DOWN	106	70	14.559086469549339	-9.75385102721843	0.13734987235423904	-0.13934072896026328
BigramTaggerSWN	Wrong	10	47	Thumbs UP	52	23	7.193621998415211	-2.120346416232784	0.1383388845849079	-0.09218897461881669
BigramTaggerSWN	Wrong	1	5	Thumbs UP	66	43	8.31875218105917	-4.738577154723019	0.1260416997130177	-0.11019946871448881
BigramTaggerSWN	Wrong	3	11	Thumbs DOWN	61	51	8.576515229425409	-8.423056053679751	0.14059861031844934	-0.16515796183685785
BigramTaggerSWN	Wrong	10	45	Thumbs UP	60	48	11.767082808212562	-8.978002047530232	0.1961180468035427	-0.1870417093235465
BigramTaggerSWN	Wrong	7	34	Thumbs DOWN	30	21	4.959586035539958	-4.046306787738755	0.1653195345179986	-0.19268127560660736
BigramTaggerSWN	Wrong	7	31	Thumbs UP	67	41	11.70558453005729	-6.964571142391293	0.1747102168665267	-0.16986758883881203
BigramTaggerSWN	Wrong	7	32	Thumbs DOWN	42	29	5.68397230998422	-5.162713529932989	0.13533267404724333	-0.1780246044804479
BigramTaggerSWN	Wrong	8	38	Thumbs DOWN	102	27	15.000452533403791	-4.001757632636587	0.14706326013140972	-0.14821324565320693
BigramTaggerSWN	Wrong	8	39	Thumbs DOWN	77	36	10.448487587764106	-7.234365311710666	0.13569464399693645	-0.20095459199196294
BigramTaggerSWN	Wrong	8	37	Thumbs DOWN	69	36	11.643298833037905	-7.0431804735418195	0.16874346134837542	-0.19564390204282833
BigramTaggerSWN	Wrong	2	7	Thumbs UP	66	52	12.447515499918424	-9.663502547582151	0.1885987196957337	-0.1858365874535029
BigramTaggerSWN	Wrong	2	8	Thumbs UP	65	41	11.202890491928386	-5.806121026457446	0.17235216141428286	-0.14161270796237674
